0003-QH,89,0,231,121.5077,25.1252,2018/3/12 上午 09:01:16,25,50,100600
0003-QH,89,0,43,121.5076,25.1253,2018/3/12 下午 03:15:14,120,50,100600
0005-QH,68,0,55,121.5066,25.1175,2018/3/12 上午 09:41:23,11,50,100600
0005-QH,68,0,278,121.5066,25.1176,2018/3/12 下午 02:28:41,,50,100600
0005-QH,68,0,75,121.5066,25.1175,2018/3/12 下午 05:07:59,41,50,100600
0768-QH,89,0,299,121.5028,25.1359,2018/3/12 上午 09:18:47,11,50,100600
0768-QH,68,0,198,121.5029,25.1359,2018/3/12 下午 02:34:32,30,50,100600
1456-QH,89,0,289,121.5163,25.1175,2018/3/12 上午 10:45:24,11,50,100600
1460-QH,68,0,200,121.5028,25.1357,2018/3/12 下午 02:33:57,24,50,100600
3387-QH,89,0,0,121.503,25.1359,2018/3/12 上午 09:41:59,22,50,100600
3663-QH,68,0,198,121.5029,25.1358,2018/3/12 下午 02:52:47,30,50,100600
3663-QH,89,0,180,121.5029,25.1359,2018/3/12 下午 06:09:19,44,50,100600
3663-QH,89,0,164,121.5029,25.1359,2018/3/12 下午 09:48:26,0,50,100600
3670-QH,89,0,78,121.5028,25.1359,2018/3/12 上午 10:29:12,10,50,100600
3670-QH,89,0,152,121.5031,25.1359,2018/3/12 下午 01:44:40,10,50,100600
3670-QH,68,0,154,121.5029,25.1358,2018/3/12 下午 05:30:02,,50,100600
4388-UY,89,0,145,121.5031,25.1359,2018/3/12 上午 08:57:47,10,50,100600
4388-UY,68,0,155,121.503,25.1359,2018/3/12 下午 01:37:26,23,50,100600
4388-UY,68,0,188,121.503,25.1358,2018/3/12 下午 03:19:17,0,50,100600
4388-UY,89,0,42,121.5032,25.1358,2018/3/12 下午 06:17:24,11,50,100600
4388-UY,89,0,172,121.503,25.1359,2018/3/12 下午 09:44:49,0,50,100600
4412-UY,68,0,240,121.5029,25.1359,2018/3/12 上午 11:25:19,10,50,100600
4412-UY,89,0,317,121.5029,25.1359,2018/3/12 下午 12:51:45,11,50,100600
4412-UY,68,0,161,121.503,25.1359,2018/3/12 下午 04:21:25,0,50,100600
4412-UY,68,0,175,121.5029,25.1358,2018/3/12 下午 06:28:00,0,50,100600
4412-UY,89,0,175,121.503,25.1359,2018/3/12 下午 09:32:04,11,50,100600
4490-UW,89,0,59,121.4682,25.1281,2018/3/12 下午 02:22:07,67,50,100600
5470-YD,89,0,94,121.5029,25.1359,2018/3/12 上午 10:20:14,0,50,100600
5470-YD,89,0,193,121.5029,25.1359,2018/3/12 下午 12:22:25,10,50,100600
5470-YD,68,0,118,121.5029,25.1358,2018/3/12 下午 02:39:04,0,50,100600
5471-YD,68,0,190,121.5029,25.1359,2018/3/12 上午 10:30:24,71,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:50:43,0,50,100600
5471-YD,68,0,125,121.503,25.1359,2018/3/12 下午 02:58:29,,50,100600
5471-YD,89,0,17,121.4668,25.1215,2018/3/12 下午 05:05:24,35,50,100600
5471-YD,89,0,303,121.5032,25.1358,2018/3/12 下午 06:05:46,0,50,100600
5472-YD,68,0,230,121.5029,25.1359,2018/3/12 上午 10:08:15,0,50,100600
5472-YD,89,0,185,121.5012,25.1285,2018/3/12 上午 11:41:53,0,50,100600
5472-YD,89,0,153,121.503,25.1359,2018/3/12 下午 01:17:05,0,50,100600
5472-YD,89,0,3,121.5011,25.1285,2018/3/12 下午 05:13:01,46,50,100600
5473-YD,68,0,185,121.5029,25.1359,2018/3/12 下午 12:35:56,0,50,100600
5473-YD,68,0,313,121.5029,25.1359,2018/3/12 下午 04:10:32,0,50,100600
5473-YD,89,0,139,121.5029,25.1359,2018/3/12 下午 06:26:55,11,50,100600
5473-YD,68,0,137,121.503,25.1359,2018/3/12 下午 08:10:36,,50,100600
5473-YD,68,0,197,121.5029,25.1357,2018/3/12 下午 09:44:56,15,50,100600
7816-QK,89,0,87,121.4892,25.1384,2018/3/12 上午 11:00:59,0,50,100600
7816-QK,89,0,87,121.4891,25.1384,2018/3/12 下午 03:19:29,0,50,100600
8315-EW,68,0,202,121.5029,25.1359,2018/3/12 上午 09:14:08,22,50,100600
8315-EW,89,0,141,121.503,25.1359,2018/3/12 下午 02:21:38,15,50,100600
8315-EW,89,0,142,121.5032,25.1359,2018/3/12 下午 04:29:57,23,50,100600
8315-EW,89,0,173,121.5029,25.1359,2018/3/12 下午 06:25:31,11,50,100600
8315-EW,68,0,143,121.503,25.1359,2018/3/12 下午 08:08:20,23,50,100600
8315-EW,68,0,161,121.503,25.1358,2018/3/12 下午 09:41:38,73,50,100600
ANN-5972,68,0,227,121.5031,25.1359,2018/3/12 下午 12:08:22,0,50,100600
ANN-5972,68,0,159,121.503,25.1358,2018/3/12 下午 02:11:52,,50,100600
AQX-7631,68,0,233,121.5459,25.1512,2018/3/12 上午 08:47:14,15,50,100600
AQX-7631,68,0,358,121.546,25.1512,2018/3/12 下午 02:48:20,0,50,100600
