車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5712-YD,90,0,275,120.4568,23.6021,2018/3/12 上午 08:00:37,15,50,600051
5712-YD,91,0,60,120.4567,23.6021,2018/3/12 上午 08:24:22,11,50,600051
5712-YD,91,0,60,120.4567,23.6021,2018/3/12 上午 08:28:30,,50,600051
5712-YD,91,0,90,120.4567,23.6021,2018/3/12 上午 08:29:19,,50,600051
6509-VA,91,0,0,120.4567,23.602,2018/3/12 上午 08:33:19,0,50,600051
1473-QH,91,0,0,120.4568,23.602,2018/3/12 上午 08:34:06,129,50,600051
5712-YD,90,0,90,120.4567,23.6021,2018/3/12 上午 08:55:31,11,50,600051
5712-YD,90,0,90,120.4567,23.602,2018/3/12 上午 08:56:01,11,50,600051
5712-YD,90,0,90,120.4567,23.602,2018/3/12 上午 08:56:31,0,50,600051
5712-YD,90,0,90,120.4567,23.602,2018/3/12 上午 08:57:01,0,50,600051
5712-YD,90,0,306,120.4565,23.6021,2018/3/12 上午 08:57:31,24,50,600051
5712-YD,90,0,17,120.4511,23.5999,2018/3/12 上午 09:00:01,33,60,600051
5712-YD,90,0,319,120.4476,23.6036,2018/3/12 上午 09:01:01,264,70,600051
5712-YD,90,0,318,120.44,23.6119,2018/3/12 上午 09:03:01,204,60,600051
5712-YD,91,0,248,120.4244,23.6129,2018/3/12 上午 09:05:43,331,60,600051
5712-YD,90,0,248,120.4244,23.6129,2018/3/12 上午 09:06:02,0,60,600051
5712-YD,90,0,248,120.4244,23.6129,2018/3/12 上午 09:06:32,0,60,600051
5712-YD,90,0,258,120.4209,23.6117,2018/3/12 上午 09:08:02,147,60,600051
5712-YD,90,0,258,120.4209,23.6117,2018/3/12 上午 09:08:32,0,60,600051
6509-VA,90,0,0,120.4566,23.6019,2018/3/12 上午 09:10:06,,50,600051
6509-VA,90,0,0,120.4566,23.602,2018/3/12 上午 09:10:36,10,50,600051
